2025-03-26 21:12:49,487 - INFO - Running conjugate priors for file: Attention_Healthy
2025-03-26 21:12:49,492 - INFO - Number of biomarkers: 10
2025-03-26 21:14:08,340 - INFO - Iteration 2000/20000, Acceptance Ratio: 13.80%, Log Likelihood: -4951.2091, Current Accepted Order: dict_values([np.int64(1), np.int64(5), np.int64(2), np.int64(4), np.int64(3), np.int64(7), np.int64(9), np.int64(10), np.int64(8), np.int64(6)]), 
2025-03-26 21:15:31,911 - INFO - Iteration 4000/20000, Acceptance Ratio: 13.95%, Log Likelihood: -4945.5367, Current Accepted Order: dict_values([np.int64(2), np.int64(5), np.int64(4), np.int64(1), np.int64(3), np.int64(7), np.int64(9), np.int64(10), np.int64(8), np.int64(6)]), 
2025-03-26 21:17:01,483 - INFO - Iteration 6000/20000, Acceptance Ratio: 13.05%, Log Likelihood: -4944.9345, Current Accepted Order: dict_values([np.int64(4), np.int64(5), np.int64(3), np.int64(2), np.int64(1), np.int64(7), np.int64(9), np.int64(10), np.int64(8), np.int64(6)]), 
2025-03-26 21:18:49,159 - INFO - Iteration 8000/20000, Acceptance Ratio: 13.19%, Log Likelihood: -4949.3273, Current Accepted Order: dict_values([np.int64(3), np.int64(5), np.int64(2), np.int64(1), np.int64(4), np.int64(7), np.int64(10), np.int64(9), np.int64(8), np.int64(6)]), 
2025-03-26 21:20:09,264 - INFO - Iteration 10000/20000, Acceptance Ratio: 13.77%, Log Likelihood: -4947.5724, Current Accepted Order: dict_values([np.int64(2), np.int64(1), np.int64(3), np.int64(5), np.int64(4), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(7)]), 
2025-03-26 21:21:39,285 - INFO - Iteration 12000/20000, Acceptance Ratio: 13.88%, Log Likelihood: -4949.1554, Current Accepted Order: dict_values([np.int64(4), np.int64(2), np.int64(3), np.int64(1), np.int64(5), np.int64(6), np.int64(9), np.int64(10), np.int64(8), np.int64(7)]), 
2025-03-26 21:23:22,319 - INFO - Iteration 14000/20000, Acceptance Ratio: 13.89%, Log Likelihood: -4946.2223, Current Accepted Order: dict_values([np.int64(1), np.int64(5), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(8), np.int64(10), np.int64(9), np.int64(7)]), 
2025-03-26 21:24:39,121 - INFO - Iteration 16000/20000, Acceptance Ratio: 14.11%, Log Likelihood: -4948.0267, Current Accepted Order: dict_values([np.int64(1), np.int64(3), np.int64(5), np.int64(2), np.int64(4), np.int64(6), np.int64(8), np.int64(10), np.int64(9), np.int64(7)]), 
2025-03-26 21:26:02,525 - INFO - Iteration 18000/20000, Acceptance Ratio: 14.02%, Log Likelihood: -4945.0746, Current Accepted Order: dict_values([np.int64(1), np.int64(5), np.int64(4), np.int64(2), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(7)]), 
2025-03-26 21:27:18,484 - INFO - Iteration 20000/20000, Acceptance Ratio: 14.10%, Log Likelihood: -4946.2349, Current Accepted Order: dict_values([np.int64(1), np.int64(5), np.int64(2), np.int64(4), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(7)]), 
2025-03-26 21:27:20,142 - INFO - Results saved to conjugate_priors/results/Attention_Healthy_results.json
