2025-03-26 22:50:22,488 - INFO - Running conjugate priors for file: Global_All
2025-03-26 22:50:22,492 - INFO - Number of biomarkers: 10
2025-03-26 22:52:07,572 - INFO - Iteration 2000/20000, Acceptance Ratio: 11.80%, Log Likelihood: -4798.5549, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(3), np.int64(4), np.int64(5), np.int64(9), np.int64(1), np.int64(7), np.int64(8), np.int64(10)]), 
2025-03-26 22:53:46,177 - INFO - Iteration 4000/20000, Acceptance Ratio: 10.60%, Log Likelihood: -4798.8911, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(3), np.int64(5), np.int64(4), np.int64(8), np.int64(10), np.int64(9), np.int64(7), np.int64(1)]), 
2025-03-26 22:55:25,006 - INFO - Iteration 6000/20000, Acceptance Ratio: 10.35%, Log Likelihood: -4797.1218, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(3), np.int64(5), np.int64(4), np.int64(8), np.int64(1), np.int64(9), np.int64(7), np.int64(10)]), 
2025-03-26 22:57:03,361 - INFO - Iteration 8000/20000, Acceptance Ratio: 10.20%, Log Likelihood: -4797.6366, Current Accepted Order: dict_values([np.int64(4), np.int64(6), np.int64(3), np.int64(5), np.int64(2), np.int64(8), np.int64(1), np.int64(9), np.int64(7), np.int64(10)]), 
2025-03-26 22:58:37,658 - INFO - Iteration 10000/20000, Acceptance Ratio: 9.95%, Log Likelihood: -4796.2342, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(3), np.int64(5), np.int64(4), np.int64(8), np.int64(1), np.int64(9), np.int64(7), np.int64(10)]), 
2025-03-26 23:00:14,030 - INFO - Iteration 12000/20000, Acceptance Ratio: 9.78%, Log Likelihood: -4801.0097, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(4), np.int64(5), np.int64(3), np.int64(7), np.int64(1), np.int64(8), np.int64(9), np.int64(10)]), 
2025-03-26 23:01:48,848 - INFO - Iteration 14000/20000, Acceptance Ratio: 9.76%, Log Likelihood: -4800.1435, Current Accepted Order: dict_values([np.int64(3), np.int64(5), np.int64(4), np.int64(6), np.int64(2), np.int64(8), np.int64(1), np.int64(9), np.int64(7), np.int64(10)]), 
2025-03-26 23:03:26,937 - INFO - Iteration 16000/20000, Acceptance Ratio: 9.69%, Log Likelihood: -4798.3877, Current Accepted Order: dict_values([np.int64(3), np.int64(6), np.int64(2), np.int64(5), np.int64(4), np.int64(8), np.int64(1), np.int64(9), np.int64(7), np.int64(10)]), 
2025-03-26 23:05:01,687 - INFO - Iteration 18000/20000, Acceptance Ratio: 9.60%, Log Likelihood: -4801.7543, Current Accepted Order: dict_values([np.int64(4), np.int64(5), np.int64(3), np.int64(6), np.int64(2), np.int64(7), np.int64(1), np.int64(9), np.int64(8), np.int64(10)]), 
2025-03-26 23:06:36,278 - INFO - Iteration 20000/20000, Acceptance Ratio: 9.61%, Log Likelihood: -4798.5431, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(3), np.int64(5), np.int64(4), np.int64(7), np.int64(1), np.int64(9), np.int64(8), np.int64(10)]), 
2025-03-26 23:06:37,858 - INFO - Results saved to conjugate_priors/results/Global_All_results.json
