2025-03-26 21:13:07,214 - INFO - Running conjugate priors for file: Language_Healthy
2025-03-26 21:13:07,218 - INFO - Number of biomarkers: 10
2025-03-26 21:14:13,555 - INFO - Iteration 2000/20000, Acceptance Ratio: 26.30%, Log Likelihood: -5103.6340, Current Accepted Order: dict_values([np.int64(3), np.int64(2), np.int64(1), np.int64(4), np.int64(9), np.int64(6), np.int64(10), np.int64(8), np.int64(7), np.int64(5)]), 
2025-03-26 21:15:07,197 - INFO - Iteration 4000/20000, Acceptance Ratio: 27.45%, Log Likelihood: -5101.6380, Current Accepted Order: dict_values([np.int64(2), np.int64(1), np.int64(4), np.int64(5), np.int64(3), np.int64(8), np.int64(9), np.int64(10), np.int64(7), np.int64(6)]), 
2025-03-26 21:16:01,072 - INFO - Iteration 6000/20000, Acceptance Ratio: 28.52%, Log Likelihood: -5100.2060, Current Accepted Order: dict_values([np.int64(3), np.int64(4), np.int64(5), np.int64(1), np.int64(2), np.int64(7), np.int64(8), np.int64(10), np.int64(9), np.int64(6)]), 
2025-03-26 21:16:54,927 - INFO - Iteration 8000/20000, Acceptance Ratio: 29.56%, Log Likelihood: -5103.0928, Current Accepted Order: dict_values([np.int64(2), np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(9), np.int64(8), np.int64(10), np.int64(7), np.int64(6)]), 
2025-03-26 21:17:47,815 - INFO - Iteration 10000/20000, Acceptance Ratio: 29.32%, Log Likelihood: -5102.4205, Current Accepted Order: dict_values([np.int64(4), np.int64(2), np.int64(3), np.int64(1), np.int64(5), np.int64(8), np.int64(10), np.int64(7), np.int64(9), np.int64(6)]), 
2025-03-26 21:18:42,466 - INFO - Iteration 12000/20000, Acceptance Ratio: 29.13%, Log Likelihood: -5103.7582, Current Accepted Order: dict_values([np.int64(4), np.int64(2), np.int64(5), np.int64(1), np.int64(6), np.int64(10), np.int64(7), np.int64(8), np.int64(9), np.int64(3)]), 
2025-03-26 21:19:35,898 - INFO - Iteration 14000/20000, Acceptance Ratio: 29.04%, Log Likelihood: -5101.4550, Current Accepted Order: dict_values([np.int64(1), np.int64(2), np.int64(5), np.int64(4), np.int64(3), np.int64(8), np.int64(10), np.int64(9), np.int64(7), np.int64(6)]), 
2025-03-26 21:20:30,639 - INFO - Iteration 16000/20000, Acceptance Ratio: 29.48%, Log Likelihood: -5102.4405, Current Accepted Order: dict_values([np.int64(1), np.int64(3), np.int64(2), np.int64(5), np.int64(4), np.int64(10), np.int64(7), np.int64(9), np.int64(8), np.int64(6)]), 
2025-03-26 21:21:27,166 - INFO - Iteration 18000/20000, Acceptance Ratio: 29.48%, Log Likelihood: -5101.4011, Current Accepted Order: dict_values([np.int64(1), np.int64(5), np.int64(4), np.int64(2), np.int64(3), np.int64(8), np.int64(10), np.int64(9), np.int64(7), np.int64(6)]), 
2025-03-26 21:22:23,939 - INFO - Iteration 20000/20000, Acceptance Ratio: 29.79%, Log Likelihood: -5102.5625, Current Accepted Order: dict_values([np.int64(5), np.int64(1), np.int64(4), np.int64(3), np.int64(2), np.int64(9), np.int64(7), np.int64(10), np.int64(8), np.int64(6)]), 
2025-03-26 21:22:25,458 - INFO - Results saved to conjugate_priors/results/Language_Healthy_results.json
