2025-03-26 21:12:47,884 - INFO - Running conjugate priors for file: Language_Stroke
2025-03-26 21:12:47,888 - INFO - Number of biomarkers: 10
2025-03-26 21:13:55,370 - INFO - Iteration 2000/20000, Acceptance Ratio: 31.95%, Log Likelihood: -5172.6207, Current Accepted Order: dict_values([np.int64(1), np.int64(4), np.int64(3), np.int64(5), np.int64(2), np.int64(8), np.int64(10), np.int64(9), np.int64(7), np.int64(6)]), 
2025-03-26 21:15:06,990 - INFO - Iteration 4000/20000, Acceptance Ratio: 30.65%, Log Likelihood: -5170.6952, Current Accepted Order: dict_values([np.int64(2), np.int64(1), np.int64(4), np.int64(5), np.int64(3), np.int64(10), np.int64(8), np.int64(9), np.int64(6), np.int64(7)]), 
2025-03-26 21:16:07,792 - INFO - Iteration 6000/20000, Acceptance Ratio: 30.22%, Log Likelihood: -5171.9502, Current Accepted Order: dict_values([np.int64(3), np.int64(5), np.int64(1), np.int64(4), np.int64(2), np.int64(9), np.int64(10), np.int64(8), np.int64(6), np.int64(7)]), 
2025-03-26 21:17:12,689 - INFO - Iteration 8000/20000, Acceptance Ratio: 30.00%, Log Likelihood: -5174.5744, Current Accepted Order: dict_values([np.int64(4), np.int64(5), np.int64(1), np.int64(2), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(7)]), 
2025-03-26 21:18:16,689 - INFO - Iteration 10000/20000, Acceptance Ratio: 29.91%, Log Likelihood: -5170.3464, Current Accepted Order: dict_values([np.int64(5), np.int64(1), np.int64(3), np.int64(4), np.int64(2), np.int64(10), np.int64(8), np.int64(9), np.int64(6), np.int64(7)]), 
2025-03-26 21:19:14,051 - INFO - Iteration 12000/20000, Acceptance Ratio: 30.20%, Log Likelihood: -5172.3791, Current Accepted Order: dict_values([np.int64(5), np.int64(3), np.int64(4), np.int64(1), np.int64(2), np.int64(10), np.int64(9), np.int64(8), np.int64(6), np.int64(7)]), 
2025-03-26 21:20:11,684 - INFO - Iteration 14000/20000, Acceptance Ratio: 29.97%, Log Likelihood: -5170.3723, Current Accepted Order: dict_values([np.int64(2), np.int64(5), np.int64(3), np.int64(1), np.int64(4), np.int64(9), np.int64(7), np.int64(10), np.int64(6), np.int64(8)]), 
2025-03-26 21:21:16,690 - INFO - Iteration 16000/20000, Acceptance Ratio: 29.93%, Log Likelihood: -5169.9576, Current Accepted Order: dict_values([np.int64(4), np.int64(5), np.int64(3), np.int64(2), np.int64(1), np.int64(9), np.int64(6), np.int64(10), np.int64(7), np.int64(8)]), 
2025-03-26 21:22:21,040 - INFO - Iteration 18000/20000, Acceptance Ratio: 29.84%, Log Likelihood: -5169.6343, Current Accepted Order: dict_values([np.int64(3), np.int64(5), np.int64(4), np.int64(2), np.int64(1), np.int64(10), np.int64(6), np.int64(9), np.int64(8), np.int64(7)]), 
2025-03-26 21:23:21,011 - INFO - Iteration 20000/20000, Acceptance Ratio: 29.86%, Log Likelihood: -5171.8638, Current Accepted Order: dict_values([np.int64(2), np.int64(1), np.int64(5), np.int64(4), np.int64(3), np.int64(9), np.int64(6), np.int64(8), np.int64(7), np.int64(10)]), 
2025-03-26 21:23:23,390 - INFO - Results saved to conjugate_priors/results/Language_Stroke_results.json
