2025-03-26 22:50:34,059 - INFO - Running conjugate priors for file: Memory_Healthy
2025-03-26 22:50:34,065 - INFO - Number of biomarkers: 10
2025-03-26 22:51:51,178 - INFO - Iteration 2000/20000, Acceptance Ratio: 13.65%, Log Likelihood: -5119.7762, Current Accepted Order: dict_values([np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(5), np.int64(8), np.int64(6), np.int64(10), np.int64(7), np.int64(9)]), 
2025-03-26 22:53:04,969 - INFO - Iteration 4000/20000, Acceptance Ratio: 14.78%, Log Likelihood: -5124.4947, Current Accepted Order: dict_values([np.int64(2), np.int64(3), np.int64(1), np.int64(5), np.int64(4), np.int64(7), np.int64(6), np.int64(10), np.int64(8), np.int64(9)]), 
2025-03-26 22:54:18,715 - INFO - Iteration 6000/20000, Acceptance Ratio: 14.83%, Log Likelihood: -5120.7190, Current Accepted Order: dict_values([np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(3), np.int64(8), np.int64(7), np.int64(10), np.int64(6), np.int64(9)]), 
2025-03-26 22:55:31,801 - INFO - Iteration 8000/20000, Acceptance Ratio: 14.45%, Log Likelihood: -5119.4025, Current Accepted Order: dict_values([np.int64(2), np.int64(3), np.int64(5), np.int64(1), np.int64(4), np.int64(7), np.int64(6), np.int64(10), np.int64(8), np.int64(9)]), 
2025-03-26 22:56:58,069 - INFO - Iteration 10000/20000, Acceptance Ratio: 14.30%, Log Likelihood: -5122.6005, Current Accepted Order: dict_values([np.int64(3), np.int64(1), np.int64(5), np.int64(2), np.int64(4), np.int64(8), np.int64(6), np.int64(9), np.int64(7), np.int64(10)]), 
2025-03-26 22:58:25,772 - INFO - Iteration 12000/20000, Acceptance Ratio: 14.36%, Log Likelihood: -5119.6121, Current Accepted Order: dict_values([np.int64(1), np.int64(3), np.int64(4), np.int64(2), np.int64(5), np.int64(8), np.int64(6), np.int64(10), np.int64(7), np.int64(9)]), 
2025-03-26 22:59:54,541 - INFO - Iteration 14000/20000, Acceptance Ratio: 14.96%, Log Likelihood: -5121.8940, Current Accepted Order: dict_values([np.int64(3), np.int64(1), np.int64(4), np.int64(2), np.int64(5), np.int64(7), np.int64(8), np.int64(9), np.int64(6), np.int64(10)]), 
2025-03-26 23:01:05,372 - INFO - Iteration 16000/20000, Acceptance Ratio: 14.81%, Log Likelihood: -5124.6532, Current Accepted Order: dict_values([np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(3), np.int64(4), np.int64(8), np.int64(10), np.int64(7), np.int64(9)]), 
2025-03-26 23:02:23,361 - INFO - Iteration 18000/20000, Acceptance Ratio: 14.86%, Log Likelihood: -5124.2188, Current Accepted Order: dict_values([np.int64(4), np.int64(1), np.int64(3), np.int64(2), np.int64(5), np.int64(7), np.int64(6), np.int64(10), np.int64(8), np.int64(9)]), 
2025-03-26 23:03:31,928 - INFO - Iteration 20000/20000, Acceptance Ratio: 14.86%, Log Likelihood: -5118.1369, Current Accepted Order: dict_values([np.int64(2), np.int64(1), np.int64(5), np.int64(3), np.int64(4), np.int64(7), np.int64(6), np.int64(10), np.int64(8), np.int64(9)]), 
2025-03-26 23:03:33,684 - INFO - Results saved to conjugate_priors/results/Memory_Healthy_results.json
