2025-03-26 21:12:47,510 - INFO - Running conjugate priors for file: Memory_Stroke
2025-03-26 21:12:47,516 - INFO - Number of biomarkers: 10
2025-03-26 21:13:59,321 - INFO - Iteration 2000/20000, Acceptance Ratio: 19.10%, Log Likelihood: -5143.5602, Current Accepted Order: dict_values([np.int64(7), np.int64(4), np.int64(3), np.int64(2), np.int64(1), np.int64(8), np.int64(9), np.int64(10), np.int64(6), np.int64(5)]), 
2025-03-26 21:15:04,352 - INFO - Iteration 4000/20000, Acceptance Ratio: 18.52%, Log Likelihood: -5144.6289, Current Accepted Order: dict_values([np.int64(3), np.int64(1), np.int64(4), np.int64(7), np.int64(2), np.int64(8), np.int64(9), np.int64(10), np.int64(5), np.int64(6)]), 
2025-03-26 21:16:02,605 - INFO - Iteration 6000/20000, Acceptance Ratio: 18.33%, Log Likelihood: -5143.5301, Current Accepted Order: dict_values([np.int64(1), np.int64(4), np.int64(2), np.int64(6), np.int64(3), np.int64(8), np.int64(9), np.int64(10), np.int64(7), np.int64(5)]), 
2025-03-26 21:17:14,267 - INFO - Iteration 8000/20000, Acceptance Ratio: 18.46%, Log Likelihood: -5144.7380, Current Accepted Order: dict_values([np.int64(3), np.int64(5), np.int64(2), np.int64(4), np.int64(1), np.int64(6), np.int64(8), np.int64(10), np.int64(7), np.int64(9)]), 
2025-03-26 21:18:14,176 - INFO - Iteration 10000/20000, Acceptance Ratio: 18.14%, Log Likelihood: -5143.0732, Current Accepted Order: dict_values([np.int64(1), np.int64(6), np.int64(3), np.int64(7), np.int64(2), np.int64(9), np.int64(8), np.int64(10), np.int64(4), np.int64(5)]), 
2025-03-26 21:19:11,557 - INFO - Iteration 12000/20000, Acceptance Ratio: 18.27%, Log Likelihood: -5146.2740, Current Accepted Order: dict_values([np.int64(3), np.int64(4), np.int64(2), np.int64(6), np.int64(1), np.int64(5), np.int64(9), np.int64(10), np.int64(7), np.int64(8)]), 
2025-03-26 21:20:12,355 - INFO - Iteration 14000/20000, Acceptance Ratio: 18.16%, Log Likelihood: -5144.6656, Current Accepted Order: dict_values([np.int64(7), np.int64(2), np.int64(3), np.int64(1), np.int64(4), np.int64(9), np.int64(8), np.int64(10), np.int64(5), np.int64(6)]), 
2025-03-26 21:21:18,246 - INFO - Iteration 16000/20000, Acceptance Ratio: 17.96%, Log Likelihood: -5142.0475, Current Accepted Order: dict_values([np.int64(1), np.int64(7), np.int64(4), np.int64(2), np.int64(3), np.int64(8), np.int64(9), np.int64(10), np.int64(6), np.int64(5)]), 
2025-03-26 21:22:15,336 - INFO - Iteration 18000/20000, Acceptance Ratio: 17.94%, Log Likelihood: -5146.5061, Current Accepted Order: dict_values([np.int64(7), np.int64(4), np.int64(1), np.int64(5), np.int64(2), np.int64(9), np.int64(8), np.int64(10), np.int64(6), np.int64(3)]), 
2025-03-26 21:23:12,619 - INFO - Iteration 20000/20000, Acceptance Ratio: 17.96%, Log Likelihood: -5144.6440, Current Accepted Order: dict_values([np.int64(5), np.int64(7), np.int64(1), np.int64(6), np.int64(2), np.int64(10), np.int64(3), np.int64(8), np.int64(4), np.int64(9)]), 
2025-03-26 21:23:14,270 - INFO - Results saved to conjugate_priors/results/Memory_Stroke_results.json
