2025-03-26 22:50:25,680 - INFO - Running conjugate priors for file: Perception_Stroke
2025-03-26 22:50:25,684 - INFO - Number of biomarkers: 10
2025-03-26 22:51:27,643 - INFO - Iteration 2000/20000, Acceptance Ratio: 14.95%, Log Likelihood: -5225.3016, Current Accepted Order: dict_values([np.int64(6), np.int64(5), np.int64(4), np.int64(10), np.int64(8), np.int64(3), np.int64(1), np.int64(7), np.int64(9), np.int64(2)]), 
2025-03-26 22:52:34,654 - INFO - Iteration 4000/20000, Acceptance Ratio: 13.53%, Log Likelihood: -5226.9534, Current Accepted Order: dict_values([np.int64(6), np.int64(2), np.int64(3), np.int64(10), np.int64(7), np.int64(5), np.int64(1), np.int64(8), np.int64(9), np.int64(4)]), 
2025-03-26 22:53:37,662 - INFO - Iteration 6000/20000, Acceptance Ratio: 14.18%, Log Likelihood: -5227.2224, Current Accepted Order: dict_values([np.int64(7), np.int64(6), np.int64(4), np.int64(10), np.int64(3), np.int64(2), np.int64(1), np.int64(9), np.int64(8), np.int64(5)]), 
2025-03-26 22:54:38,254 - INFO - Iteration 8000/20000, Acceptance Ratio: 13.94%, Log Likelihood: -5227.9667, Current Accepted Order: dict_values([np.int64(8), np.int64(6), np.int64(7), np.int64(10), np.int64(5), np.int64(4), np.int64(2), np.int64(1), np.int64(9), np.int64(3)]), 
2025-03-26 22:55:42,466 - INFO - Iteration 10000/20000, Acceptance Ratio: 14.52%, Log Likelihood: -5231.5244, Current Accepted Order: dict_values([np.int64(7), np.int64(3), np.int64(5), np.int64(10), np.int64(6), np.int64(8), np.int64(2), np.int64(1), np.int64(9), np.int64(4)]), 
2025-03-26 22:56:42,724 - INFO - Iteration 12000/20000, Acceptance Ratio: 16.07%, Log Likelihood: -5218.0095, Current Accepted Order: dict_values([np.int64(8), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(1), np.int64(2), np.int64(9), np.int64(10), np.int64(6)]), 
2025-03-26 22:57:44,135 - INFO - Iteration 14000/20000, Acceptance Ratio: 17.34%, Log Likelihood: -5219.8693, Current Accepted Order: dict_values([np.int64(9), np.int64(4), np.int64(7), np.int64(8), np.int64(6), np.int64(2), np.int64(3), np.int64(5), np.int64(10), np.int64(1)]), 
2025-03-26 22:58:46,397 - INFO - Iteration 16000/20000, Acceptance Ratio: 18.61%, Log Likelihood: -5219.3737, Current Accepted Order: dict_values([np.int64(8), np.int64(5), np.int64(9), np.int64(6), np.int64(7), np.int64(2), np.int64(3), np.int64(1), np.int64(10), np.int64(4)]), 
2025-03-26 22:59:48,324 - INFO - Iteration 18000/20000, Acceptance Ratio: 19.34%, Log Likelihood: -5216.3682, Current Accepted Order: dict_values([np.int64(7), np.int64(4), np.int64(6), np.int64(3), np.int64(8), np.int64(2), np.int64(1), np.int64(10), np.int64(9), np.int64(5)]), 
2025-03-26 23:00:52,331 - INFO - Iteration 20000/20000, Acceptance Ratio: 19.54%, Log Likelihood: -5216.9492, Current Accepted Order: dict_values([np.int64(8), np.int64(5), np.int64(4), np.int64(3), np.int64(7), np.int64(1), np.int64(2), np.int64(10), np.int64(9), np.int64(6)]), 
2025-03-26 23:00:54,173 - INFO - Results saved to conjugate_priors/results/Perception_Stroke_results.json
